full_name,stars,forks,language,created_at,description,url
iamrommelc/COVID-19-classification-using-deep-learning,6,1,Python,2020-06-10T05:57:30Z,Project revolves around the classification of COVID-19 related pneumonia from other respiratory diseases by the analysis of radiology images of the human lung and the application of transfer learning approach.,https://github.com/iamrommelc/COVID-19-classification-using-deep-learning
i-pan/boneage,6,1,Python,2020-03-01T23:11:44Z,Code and models for automated pediatric bone age evaluation with deep learning,https://github.com/i-pan/boneage
pazadeh/BAAM,6,0,Python,2018-11-06T16:36:30Z,A deep learning-based Bone Age Assessment Model (BAAM),https://github.com/pazadeh/BAAM
yasserhessein/deep-learning-classification-mammographic-mass,5,1,Jupyter Notebook,2020-11-25T18:46:58Z,"Data Set Information:  Mammography is the most effective method for breast cancer screening available today. However, the low positive predictive value of breast biopsy resulting from mammogram interpretation leads to approximately 70% unnecessary biopsies with benign outcomes. To reduce the high number of unnecessary breast biopsies, several computer-aided diagnosis (CAD) systems have been proposed in the last years.These systems help physicians in their decision to perform a breast biopsy on a suspicious lesion seen in a mammogram or to perform a short term follow-up examination instead. This data set can be used to predict the severity (benign or malignant) of a mammographic mass lesion from BI-RADS attributes and the patient's age. It contains a BI-RADS assessment, the patient's age and three BI-RADS attributes together with the ground truth (the severity field) for 516 benign and 445 malignant masses that have been identified on full field digital mammograms collected at the Institute of Radiology of the University Erlangen-Nuremberg between 2003 and 2006. Each instance has an associated BI-RADS assessment ranging from 1 (definitely benign) to 5 (highly suggestive of malignancy) assigned in a double-review process by physicians. Assuming that all cases with BI-RADS assessments greater or equal a given value (varying from 1 to 5), are malignant and the other cases benign, sensitivities and associated specificities can be calculated. These can be an indication of how well a CAD system performs compared to the radiologists.  Class Distribution: benign: 516; malignant: 445",https://github.com/yasserhessein/deep-learning-classification-mammographic-mass
akhill10/Chest-XRay-Vision,5,1,Jupyter Notebook,2018-12-30T16:44:46Z,Chest Xray image Classification using Deep learning using Pytorch ~,https://github.com/akhill10/Chest-XRay-Vision
sorna-fast/tb-chest-xray-classifier,5,1,Jupyter Notebook,2025-10-07T20:20:21Z,TB Chest X-Ray Classifier - Deep learning model for Tuberculosis detection  using CNN architecture with 99.5% accuracy and 0.999 AUC score.,https://github.com/sorna-fast/tb-chest-xray-classifier
zhugoldman/CNN-segmentation-for-Lung-cancer-OARs,5,3,Python,2018-06-12T08:41:10Z,a deep convolutional neural network (CNN)-based automatic segmentation technique was applied to the multiple organs at risk (OARs) in CT images of lung cancer,https://github.com/zhugoldman/CNN-segmentation-for-Lung-cancer-OARs
alankrit-01/COVID-19-CT-Scan,5,2,Jupyter Notebook,2021-05-12T18:19:48Z,Training a pixel segmentation neural network for classification of Covid19 lung CT-scans using UNET implemented in Tensorflow and Keras.,https://github.com/alankrit-01/COVID-19-CT-Scan
RichardChangCA/Deep-Contrastive-Metric-Learning-Method-to-Detect-Polymicrogyria-in-Pediatric-Brain-MRI,5,0,Jupyter Notebook,2022-08-07T16:07:46Z,[Journal Paper: Computerized Medical Imaging and Graphics] A Novel Center-based Deep Contrastive Metric Learning Method for the Detection of Polymicrogyria in Pediatric Brain MRI,https://github.com/RichardChangCA/Deep-Contrastive-Metric-Learning-Method-to-Detect-Polymicrogyria-in-Pediatric-Brain-MRI
eipm/ai-biopsy,4,10,Python,2019-05-30T19:41:22Z,Biopsy-free prediction of prostate cancer aggressiveness using deep learning and radiology imaging,https://github.com/eipm/ai-biopsy
JasonW375/Chest-OMDL,4,0,,2025-05-31T07:21:20Z,[MIDL 2025] Chest-OMDL: Organ-specific Multidisease Detection and Localization in Chest Computed Tomography using Weakly Supervised Deep Learning from Free-text Radiology Report,https://github.com/JasonW375/Chest-OMDL
rohithaug/sepsis-prediction,4,0,Jupyter Notebook,2022-12-01T19:43:28Z,Predict sepsis using structured data of patients who were admitted to the ICU along with their radiology reports using Deep Learning Models (CNN and LSTM),https://github.com/rohithaug/sepsis-prediction
dheerajsharma0401/Chest-Xrays-Pneumonia-Prediction,4,0,Jupyter Notebook,2021-06-26T12:11:58Z,"Chest-Xray-Pneumonia-Prediction built with OpenCV, Keras/TensorFlow using Deep Learning and Computer Vision concepts.",https://github.com/dheerajsharma0401/Chest-Xrays-Pneumonia-Prediction
benjnkns/Automatic-Organ-Segmentation,4,1,Matlab,2017-05-23T21:15:35Z,Automatic organ segmentation from CT scans with the use of generative adversarial neural networks and transfer learning of of existing neural networks.,https://github.com/benjnkns/Automatic-Organ-Segmentation
Deep-Learning-Reproduction-150/organ-segmentation,4,0,Jupyter Notebook,2022-02-28T11:42:30Z,A Novel Hybrid Convolutional Neural Network for Accurate Organ Segmentation  in 3D Head and Neck CT Images,https://github.com/Deep-Learning-Reproduction-150/organ-segmentation
afeizqf/LCOVNet,4,1,Python,2021-01-20T02:25:58Z,LCOV-NET: A LIGHTWEIGHT NEURAL NETWORK FOR COVID-19 PNEUMONIA LESION SEGMENTATION FROM 3D CT IMAGES,https://github.com/afeizqf/LCOVNet
